uncertainty method,roc-auc-mean,prc-auc-mean,ece-mean,mce-mean,nll-mean,brier-mean,roc-auc-std,prc-auc-std,ece-std,mce-std,nll-std,brier-std
GraphCL-svdkl-s2,0.7539,0.2013,0.0905,0.3973,0.1761,0.0382,0.0085,0.0214,0.0061,0.1027,0.0050,0.0013
nopretrain-svdkl-s2,0.7311,0.1340,0.3052,0.3741,0.4301,0.1242,0.0205,0.0135,0.0136,0.0275,0.0180,0.0083
