uncertainty method,roc-auc-mean,prc-auc-mean,ece-mean,mce-mean,nll-mean,brier-mean,roc-auc-std,prc-auc-std,ece-std,mce-std,nll-std,brier-std
nopretrain-svdkl-s2,0.7468,0.7262,0.1284,0.3677,0.6278,0.2186,0.0083,0.0131,0.0185,0.1068,0.0085,0.0041
GraphCL-svdkl-s2,0.7522,0.7589,0.1176,0.2797,0.6330,0.2210,0.0079,0.0132,0.0032,0.0313,0.0040,0.0020
