uncertainty method,roc-auc-mean,prc-auc-mean,ece-mean,mce-mean,nll-mean,brier-mean,roc-auc-std,prc-auc-std,ece-std,mce-std,nll-std,brier-std
GraphCL-svdkl-s2,0.5993,0.6216,0.1205,0.2793,0.5265,0.1723,0.0088,0.0012,0.0040,0.0137,0.0024,0.0008
nopretrain-svdkl-s2,0.5574,0.6018,0.2482,0.2649,0.6681,0.2375,0.0115,0.0056,0.0014,0.0101,0.0010,0.0005
