uncertainty method,rmse-mean,mae-mean,nll-mean,ce-mean,rmse-std,mae-std,nll-std,ce-std
GraphCL-embsvdkl-s2,139.1185,98.8608,28958.5857,0.0755,8.1417,7.6074,5093.9332,0.0009
GraphCL-embsvdkl-s2,139.4802,100.0073,5.5256,0.0057,7.0161,6.3214,0.0994,0.0036
