uncertainty method,roc-auc-mean,prc-auc-mean,ece-mean,mce-mean,nll-mean,brier-mean,roc-auc-std,prc-auc-std,ece-std,mce-std,nll-std,brier-std
ensemble,0.7284,0.1257,0.0045,0.8368,0.0516,0.0041,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
GraphCL-none,0.7465,0.1383,0.0039,0.7349,0.0223,0.0034,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
GraphCL-focal,0.7340,0.0979,0.0276,0.5521,0.0388,0.0048,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
GraphCL-dkl,0.4790,0.0760,0.4579,0.5004,0.6172,0.2121,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
nopretrain-none,0.7149,0.0556,0.0020,0.2549,0.0181,0.0027,0.0123,0.0229,0.0005,0.0758,0.0007,0.0001
nopretrain-focal,0.7225,0.0639,0.0471,0.3025,0.0577,0.0056,0.0272,0.0193,0.0039,0.0299,0.0039,0.0005
